72.9 27.2 [73.8, 23.8] [Silica Deposit 25]
99.0 10.2 [37.0, 47.3] [Metal Deposit 25]
56.9 83.7 [56.0, 81.3] [Salt Deposit 5]
27.1 0.4 [26.8, 2.8] [Underwater Metal Deposit 25]
23.8 63.2 [23.5, 62.0] [Obsidian Deposit 25]
7.6 12.0 [37.0, 47.3] [Metal Deposit 25]
10.7 95.8 [9.5, 97.3] [Crystal Deposit 25]
74.5 35.1 [37.0, 47.3] [Metal Deposit 25]
45.3 93.3 [45.5, 93.8] [Oil Rock 25]
65.2 75.0 [64.2, 75.9] [Rich Metal Deposit 100]
22.6 97.3 [24.9, 93.1] [Silica Deposit 25]
91.9 64.4 [37.0, 47.3] [Metal Deposit 25]
88.5 13.5 [88.3, 13.0] [Underwater Metal Deposit 25]
72.2 28.2 [37.0, 47.3] [Metal Deposit 25]
73.9 80.6 [73.8, 80.4] [Salt Deposit 5]
49.1 8.1 [37.0, 47.3] [Metal Deposit 25]
40.1 49.4 [37.0, 47.3] [Metal Deposit 25]
71.4 10.3 [71.6, 9.9] [Underwater Metal Deposit 25]
14.9 47.0 [37.0, 47.3] [Metal Deposit 25]
31.2 95.0 [31.3, 94.2] [Oil Rock 25]
48.0 41.9 [47.7, 39.1] [Metal Deposit 25]
51.7 88.1 [37.0, 47.3] [Metal Deposit 25]
92.9 28.2 [91.3, 27.8] [Underwater Metal Deposit 25]
99.6 57.9 [95.7, 60.6] [Oil Rock 25]
22.6 98.8 [24.9, 93.1] [Silica Deposit 25]
50.6 66.4 [37.0, 47.3] [Metal Deposit 25]
25.4 82.1 [33.2, 83.1] [Metal Deposit 25]
72.6 74.3 [37.0, 47.3] [Metal Deposit 25]
82.4 77.0 [37.0, 47.3] [Metal Deposit 25]
2.3 52.7 [4.2, 70.3] [Silica Deposit 25]
21.8 31.9 [21.7, 31.9] [Obsidian Deposit 25]
83.7 27.5 [37.0, 47.3] [Metal Deposit 25]
59.5 77.4 [37.0, 47.3] [Metal Deposit 25]
3.0 65.5 [6.0, 63.8] [Crystal Deposit 25]
82.9 43.1 [83.3, 45.0] [Oil Rock 25]
4.0 89.4 [3.5, 91.2] [Crystal Deposit 25]
6.5 57.4 [37.0, 47.3] [Metal Deposit 25]
92.1 97.4 [90.4, 98.5] [Silica Deposit 25]
31.2 55.4 [33.0, 56.2] [Obsidian Deposit 25]
37.4 48.9 [37.0, 47.3] [Metal Deposit 25]
69.1 95.3 [69.5, 91.3] [Silica Deposit 25]
70.7 71.5 [70.2, 70.5] [Salt Deposit 5]
50.1 17.3 [37.0, 47.3] [Metal Deposit 25]
23.7 37.3 [23.1, 36.9] [Rich Metal Deposit 100]
18.5 60.4 [37.0, 47.3] [Metal Deposit 25]
4.1 55.2 [9.5, 53.6] [Underwater Metal Deposit 25]
36.6 88.8 [36.1, 90.4] [Oil Rock 25]
9.8 26.8 [11.2, 26.8] [Underwater Metal Deposit 25]
56.7 73.1 [55.2, 78.9] [Salt Deposit 5]
82.5 17.4 [79.8, 17.8] [Metal Deposit 25]
95.2 9.1 [37.0, 47.3] [Metal Deposit 25]
72.4 0.3 [37.0, 47.3] [Metal Deposit 25]
36.6 59.4 [37.0, 47.3] [Metal Deposit 25]
34.2 43.3 [34.3, 41.9] [Metal Deposit 25]
26.6 46.6 [37.0, 47.3] [Metal Deposit 25]
4.4 20.1 [4.3, 18.7] [Underwater Metal Deposit 25]
64.3 33.0 [64.5, 33.4] [Rich Metal Deposit 100]
17.1 44.2 [37.0, 47.3] [Metal Deposit 25]
90.0 76.7 [93.4, 76.4] [Oil Rock 25]
96.8 44.9 [97.6, 42.4] [Silica Deposit 25]
72.5 60.5 [73.5, 56.4] [Rare Flowers 5]
32.7 25.2 [37.0, 47.3] [Metal Deposit 25]
42.3 55.6 [37.7, 60.6] [Crystal Deposit 25]
78.0 70.0 [37.0, 47.3] [Metal Deposit 25]
82.3 92.6 [37.0, 47.3] [Metal Deposit 25]
36.2 98.8 [36.5, 97.1] [Oil Rock 25]
82.8 84.8 [37.0, 47.3] [Metal Deposit 25]
94.8 92.6 [92.5, 94.2] [Underwater Metal Deposit 25]
94.1 66.5 [37.0, 47.3] [Metal Deposit 25]
40.6 57.3 [37.7, 60.6] [Crystal Deposit 25]
56.6 85.0 [59.2, 87.0] [Rare Flowers 5]
44.5 25.8 [44.0, 31.4] [Obsidian Deposit 25]
73.8 12.5 [72.6, 12.8] [Underwater Metal Deposit 25]
35.6 41.7 [35.6, 42.0] [Obsidian Deposit 25]
96.3 23.8 [37.0, 47.3] [Metal Deposit 25]
92.7 12.9 [37.0, 47.3] [Metal Deposit 25]
25.0 20.2 [27.5, 21.0] [Metal Deposit 25]
69.6 70.2 [37.0, 47.3] [Metal Deposit 25]
3.6 66.5 [6.0, 63.8] [Crystal Deposit 25]
37.3 17.5 [37.0, 47.3] [Metal Deposit 25]
63.1 47.3 [64.6, 46.4] [Water Vein 1]
66.8 14.3 [37.0, 47.3] [Metal Deposit 25]
1.7 43.8 [37.0, 47.3] [Metal Deposit 25]
3.1 88.3 [2.6, 88.0] [Crystal Deposit 25]
32.9 76.0 [31.2, 75.5] [Metal Deposit 25]
76.3 34.9 [37.0, 47.3] [Metal Deposit 25]
9.3 55.9 [37.0, 47.3] [Metal Deposit 25]
76.6 26.2 [37.0, 47.3] [Metal Deposit 25]
35.5 50.3 [35.4, 49.9] [Clay 5]
76.4 16.7 [37.0, 47.3] [Metal Deposit 25]
17.6 56.2 [17.8, 37.9] [Water Vein 1]
15.7 2.1 [37.0, 47.3] [Metal Deposit 25]
54.9 49.8 [55.7, 50.4] [Rich Metal Deposit 100]
80.4 63.8 [80.4, 64.4] [Salt Deposit 5]
71.6 85.7 [66.5, 85.8] [Cactus 5]
94.7 1.8 [94.8, 9.3] [Underwater Metal Deposit 25]
1.3 81.7 [4.0, 86.3] [Crystal Deposit 25]
16.1 44.3 [37.0, 47.3] [Metal Deposit 25]
84.7 49.8 [85.1, 50.4] [Crystal Deposit 25]
68.7 98.4 [68.7, 97.9] [Silica Deposit 25]
11.4 98.1 [9.5, 97.3] [Crystal Deposit 25]
77.6 96.4 [37.0, 47.3] [Metal Deposit 25]
41.7 58.6 [37.7, 60.6] [Crystal Deposit 25]
67.2 77.1 [67.0, 77.3] [Obsidian Deposit 25]
71.9 69.9 [70.6, 68.1] [Underwater Metal Deposit 25]
70.2 34.9 [37.0, 47.3] [Metal Deposit 25]
65.5 74.0 [68.4, 72.4] [Salt Deposit 5]
52.4 63.6 [55.2, 62.2] [Rich Metal Deposit 100]
57.5 74.3 [55.2, 78.9] [Salt Deposit 5]
96.2 19.6 [37.0, 47.3] [Metal Deposit 25]
55.1 32.4 [54.9, 35.5] [Metal Deposit 25]
1.0 30.1 [5.0, 32.9] [Silica Deposit 25]
98.9 76.9 [37.0, 47.3] [Metal Deposit 25]
53.9 75.2 [37.0, 47.3] [Metal Deposit 25]
19.5 37.8 [37.0, 47.3] [Metal Deposit 25]
94.5 81.3 [93.4, 76.4] [Oil Rock 25]
22.5 15.4 [23.1, 12.7] [Underwater Metal Deposit 25]
47.6 73.2 [48.1, 73.2] [Metal Deposit 25]
63.6 44.9 [37.0, 47.3] [Metal Deposit 25]
28.7 43.4 [37.0, 47.3] [Metal Deposit 25]
26.7 17.0 [37.0, 47.3] [Metal Deposit 25]
29.3 17.1 [37.7, 16.7] [Silica Deposit 25]
4.0 74.1 [37.0, 47.3] [Metal Deposit 25]
76.1 8.8 [77.8, 8.9] [Silica Deposit 25]
87.3 5.3 [37.0, 47.3] [Metal Deposit 25]
21.5 89.7 [37.0, 47.3] [Metal Deposit 25]
17.2 31.0 [17.9, 31.1] [Rare Flowers 5]
60.6 10.3 [37.0, 47.3] [Metal Deposit 25]
6.8 78.8 [6.8, 86.2] [Crystal Deposit 25]
91.4 54.1 [90.7, 52.4] [Oil Rock 25]
50.2 21.0 [50.2, 18.9] [Silica Deposit 25]
31.0 25.8 [37.0, 47.3] [Metal Deposit 25]
49.4 67.8 [48.4, 67.1] [Obsidian Deposit 25]
75.0 18.9 [76.9, 18.6] [Silica Deposit 25]
46.5 80.6 [43.0, 76.4] [Obsidian Deposit 25]
41.7 38.9 [37.0, 47.3] [Metal Deposit 25]
26.6 0.9 [26.8, 2.8] [Underwater Metal Deposit 25]
73.1 6.7 [73.9, 7.6] [Oil Rock 25]
64.7 68.5 [37.0, 47.3] [Metal Deposit 25]
75.1 5.6 [75.1, 5.9] [Silica Deposit 25]
26.3 37.9 [24.8, 38.8] [Water Vein 1]
65.8 87.9 [37.0, 47.3] [Metal Deposit 25]
95.9 86.3 [37.0, 47.3] [Metal Deposit 25]
67.1 2.9 [64.6, 2.0] [Underwater Metal Deposit 25]
99.3 51.1 [97.6, 42.4] [Silica Deposit 25]
19.1 68.6 [37.0, 47.3] [Metal Deposit 25]
5.8 21.5 [6.5, 23.2] [Underwater Metal Deposit 25, Oil Rock 25]
18.2 58.7 [18.1, 58.0] [Obsidian Deposit 25]
46.1 61.3 [48.2, 61.9] [Metal Deposit 25]
79.4 44.9 [78.6, 45.1] [Oil Rock 25]
56.7 34.1 [54.9, 35.5] [Metal Deposit 25]
2.7 90.1 [3.5, 91.2] [Crystal Deposit 25]
68.3 59.4 [68.2, 60.2] [Water Vein 1]
79.2 61.7 [37.0, 47.3] [Metal Deposit 25]
86.6 28.7 [88.2, 29.3] [Silica Deposit 25]
7.4 98.2 [7.0, 90.4] [Crystal Deposit 25]
76.9 72.7 [76.7, 70.3] [Rich Metal Deposit 100, Metal Deposit 25]
0.9 38.6 [37.0, 47.3] [Metal Deposit 25]
50.8 83.2 [37.0, 47.3] [Metal Deposit 25]
63.3 97.6 [63.4, 96.8] [Oil Rock 25]
73.3 53.9 [73.7, 54.3] [Rich Metal Deposit 100]
70.7 51.5 [70.3, 51.0] [Salt Deposit 5]
51.9 27.2 [37.0, 47.3] [Metal Deposit 25]
51.8 78.0 [47.5, 78.1] [Obsidian Deposit 25, Metal Deposit 25]
43.1 2.8 [37.0, 47.3] [Metal Deposit 25]
80.5 81.9 [78.1, 78.1] [Crystal Deposit 25]
14.7 88.4 [37.0, 47.3] [Metal Deposit 25]
97.1 25.3 [97.0, 25.3] [Underwater Metal Deposit 25]
30.1 50.5 [29.6, 48.5] [Rich Metal Deposit 100]
59.5 72.1 [62.7, 73.9] [Salt Deposit 5]
81.5 54.0 [37.0, 47.3] [Metal Deposit 25]
79.3 52.6 [37.0, 47.3] [Metal Deposit 25]
80.3 63.0 [37.0, 47.3] [Metal Deposit 25]
43.1 50.3 [37.0, 47.3] [Metal Deposit 25]
34.0 12.3 [37.0, 47.3] [Metal Deposit 25]
26.8 15.1 [26.7, 16.6] [Rare Flowers 5]
72.8 46.5 [72.7, 46.9] [Rich Metal Deposit 100]
11.1 10.8 [11.0, 7.3] [Silica Deposit 25]
68.4 72.5 [68.4, 72.4] [Salt Deposit 5]
74.7 10.4 [73.0, 10.5] [Oil Rock 25]
77.8 59.8 [77.8, 58.7] [Cactus 5]
92.7 65.7 [37.0, 47.3] [Metal Deposit 25]
78.2 79.0 [78.1, 78.1] [Crystal Deposit 25]
97.1 89.1 [37.0, 47.3] [Metal Deposit 25]
8.9 67.2 [8.9, 65.2] [Crystal Deposit 25]
60.4 2.5 [37.0, 47.3] [Metal Deposit 25]
23.0 65.8 [37.0, 47.3] [Metal Deposit 25]
49.5 27.3 [47.7, 36.0] [Rare Flowers 5]
59.1 86.5 [59.2, 87.0] [Rare Flowers 5]
60.1 13.9 [37.0, 47.3] [Metal Deposit 25]
86.2 19.4 [37.0, 47.3] [Metal Deposit 25]
79.7 33.7 [79.1, 34.0] [Silica Deposit 25]
37.9 16.0 [37.7, 16.7] [Silica Deposit 25]
50.1 84.3 [37.0, 47.3] [Metal Deposit 25]
51.8 45.4 [37.0, 47.3] [Metal Deposit 25]
93.6 94.7 [94.2, 96.5] [Oil Rock 25]
50.2 44.5 [37.0, 47.3] [Metal Deposit 25]
45.2 48.3 [37.0, 47.3] [Metal Deposit 25]
51.5 56.3 [53.5, 56.5] [Salt Deposit 5]
83.9 81.4 [37.0, 47.3] [Metal Deposit 25]
81.9 78.7 [78.1, 78.1] [Crystal Deposit 25]
89.4 58.9 [91.3, 61.7] [Oil Rock 25]
62.4 26.4 [37.0, 47.3] [Metal Deposit 25]
58.2 68.3 [37.0, 47.3] [Metal Deposit 25]
85.7 42.3 [85.4, 44.5] [Oil Rock 25]
3.4 26.6 [5.7, 28.1] [Oil Rock 25]
58.4 81.4 [58.6, 81.0] [Salt Deposit 5]
24.5 40.6 [37.0, 47.3] [Metal Deposit 25]
79.6 30.3 [80.2, 29.9] [Underwater Metal Deposit 25]
80.5 19.1 [80.2, 19.6] [Sulfur Deposit 5]
43.1 18.3 [37.0, 47.3] [Metal Deposit 25]
20.6 89.6 [37.0, 47.3] [Metal Deposit 25]
3.1 23.4 [5.7, 28.1] [Oil Rock 25]
26.1 34.0 [24.0, 34.8] [Rare Flowers 5]
18.5 73.2 [37.0, 47.3] [Metal Deposit 25]
96.0 21.4 [37.0, 47.3] [Metal Deposit 25]
93.4 96.1 [94.2, 96.5] [Oil Rock 25]
65.5 81.1 [67.0, 77.3] [Obsidian Deposit 25]
68.3 82.4 [37.0, 47.3] [Metal Deposit 25]
80.9 29.9 [37.0, 47.3] [Metal Deposit 25]
75.0 72.9 [37.0, 47.3] [Metal Deposit 25]
65.3 39.9 [64.3, 41.5] [Salt Deposit 5]
57.5 5.6 [37.0, 47.3] [Metal Deposit 25]
3.7 9.3 [5.2, 13.1] [Underwater Metal Deposit 25]
78.6 16.3 [79.8, 17.8] [Metal Deposit 25]
41.6 77.3 [37.0, 47.3] [Metal Deposit 25]
79.5 4.6 [37.0, 47.3] [Metal Deposit 25]
39.6 6.2 [37.0, 47.3] [Metal Deposit 25]
28.5 51.9 [37.0, 47.3] [Metal Deposit 25]
52.4 40.2 [52.0, 40.5] [Metal Deposit 25]
2.0 97.9 [3.5, 91.2] [Crystal Deposit 25]
1.5 36.7 [37.0, 47.3] [Metal Deposit 25]
66.6 63.2 [65.0, 66.2] [Rich Metal Deposit 100]
95.6 60.2 [95.7, 60.6] [Oil Rock 25]
91.2 34.3 [37.0, 47.3] [Metal Deposit 25]
7.7 19.8 [6.8, 17.5] [Crystal Deposit 25]
3.2 11.3 [5.2, 13.1] [Underwater Metal Deposit 25]
61.0 33.7 [37.0, 47.3] [Metal Deposit 25]
17.7 55.3 [8.5, 51.8] [Underwater Metal Deposit 25]
85.8 0.6 [84.9, 1.0] [Underwater Metal Deposit 25]
9.9 63.3 [8.9, 65.2] [Crystal Deposit 25]
7.7 64.6 [8.9, 65.2] [Crystal Deposit 25]
72.5 39.9 [72.9, 39.3] [Silica Deposit 25]
97.8 66.4 [96.6, 66.5] [Oil Rock 25]
97.1 33.5 [95.9, 35.0] [Underwater Metal Deposit 25]
64.3 83.7 [67.3, 85.0] [Cactus 5]
46.8 51.3 [52.1, 52.5] [Rich Metal Deposit 100]
96.4 78.1 [37.0, 47.3] [Metal Deposit 25]
40.7 71.8 [40.6, 73.2] [Obsidian Deposit 25]
74.6 80.8 [73.8, 80.4] [Salt Deposit 5]
54.0 29.6 [37.0, 47.3] [Metal Deposit 25]
47.0 69.7 [37.0, 47.3] [Metal Deposit 25]
49.9 52.9 [37.0, 47.3] [Metal Deposit 25]
35.8 14.4 [36.7, 11.8] [Underwater Metal Deposit 25]
96.9 99.8 [95.3, 96.0] [Silica Deposit 25]
74.7 89.5 [74.7, 86.3] [Salt Deposit 5]
92.1 51.1 [89.7, 51.0] [Silica Deposit 25]
1.2 86.2 [2.6, 88.0] [Crystal Deposit 25]
10.0 88.5 [9.7, 88.8] [Silica Deposit 25]
22.0 85.6 [22.8, 85.6] [Savoroot 1]
14.7 4.7 [13.9, 5.2] [Oil Rock 25]
45.1 91.7 [45.5, 93.8] [Oil Rock 25]
29.0 69.6 [37.0, 47.3] [Metal Deposit 25]
26.9 58.0 [37.0, 47.3] [Metal Deposit 25]
32.3 2.9 [32.2, 3.6] [Underwater Metal Deposit 25]
12.0 88.1 [9.7, 88.8] [Silica Deposit 25]
66.5 82.0 [67.0, 77.3] [Obsidian Deposit 25]
54.7 30.6 [54.6, 28.2] [Rare Flowers 5]
67.1 52.3 [66.2, 51.6] [Metal Deposit 25]
97.1 38.9 [97.5, 39.8] [Silica Deposit 25]
97.6 89.2 [37.0, 47.3] [Metal Deposit 25]
45.6 17.0 [45.2, 18.2] [Clay 5]
61.6 3.3 [37.0, 47.3] [Metal Deposit 25]
31.2 25.5 [37.0, 47.3] [Metal Deposit 25]
83.9 74.6 [37.0, 47.3] [Metal Deposit 25]
60.6 80.7 [58.6, 81.0] [Salt Deposit 5]
2.4 43.8 [37.0, 47.3] [Metal Deposit 25]
65.8 37.6 [65.4, 37.6] [Metal Deposit 25]
89.2 92.2 [88.9, 91.0] [Underwater Metal Deposit 25]
37.1 14.9 [37.0, 47.3] [Metal Deposit 25]
22.4 92.2 [24.9, 93.1] [Silica Deposit 25]
82.4 80.6 [37.0, 47.3] [Metal Deposit 25]
65.6 15.4 [37.0, 47.3] [Metal Deposit 25]
88.1 93.5 [88.3, 93.4] [Underwater Metal Deposit 25]
71.3 45.6 [70.8, 46.5] [Crystal Deposit 25]
71.8 62.7 [71.6, 65.0] [Salt Deposit 5]
13.2 54.9 [14.2, 54.0] [Underwater Metal Deposit 25]
5.2 66.5 [6.0, 63.8] [Crystal Deposit 25]
72.0 65.4 [71.6, 65.0] [Salt Deposit 5]
56.8 50.1 [55.7, 50.4] [Rich Metal Deposit 100]
42.3 38.8 [42.3, 38.4] [Rare Flowers 5]
49.7 2.6 [50.1, 10.6] [Underwater Metal Deposit 25]
2.2 6.2 [37.0, 47.3] [Metal Deposit 25]
54.6 2.4 [37.0, 47.3] [Metal Deposit 25]
91.5 73.8 [94.0, 73.2] [Oil Rock 25]
42.3 2.5 [42.1, 2.1] [Oil Rock 25]
68.4 20.9 [37.0, 47.3] [Metal Deposit 25]
1.5 26.7 [5.7, 28.1] [Oil Rock 25]
80.3 32.4 [79.9, 32.2] [Oil Rock 25]
85.0 34.2 [37.0, 47.3] [Metal Deposit 25]
62.6 97.1 [37.0, 47.3] [Metal Deposit 25]
88.1 13.4 [88.3, 13.0] [Underwater Metal Deposit 25]
99.4 34.7 [95.9, 35.0] [Underwater Metal Deposit 25]
76.6 65.6 [37.0, 47.3] [Metal Deposit 25]
18.6 8.1 [18.0, 7.4] [Silica Deposit 25]
75.6 40.3 [37.0, 47.3] [Metal Deposit 25]
67.2 19.3 [66.6, 20.1] [Silica Deposit 25]
4.8 95.0 [3.5, 91.2] [Crystal Deposit 25]
7.7 83.2 [6.8, 86.2] [Crystal Deposit 25]
91.5 60.2 [93.8, 62.5] [Oil Rock 25]
6.9 22.4 [6.5, 23.2] [Underwater Metal Deposit 25, Oil Rock 25]
26.1 4.0 [26.9, 4.1] [Underwater Metal Deposit 25]
40.6 31.2 [40.9, 27.0] [Metal Deposit 25]
26.9 7.9 [37.0, 47.3] [Metal Deposit 25]
21.2 8.3 [21.8, 8.2] [Underwater Metal Deposit 25]
67.5 84.3 [37.0, 47.3] [Metal Deposit 25]
67.0 71.3 [65.9, 69.9] [Salt Deposit 5]
82.9 89.7 [82.9, 90.0] [Oil Rock 25]
69.9 22.3 [37.0, 47.3] [Metal Deposit 25]
9.7 12.7 [37.0, 47.3] [Metal Deposit 25]
87.3 55.4 [86.1, 52.9] [Salt Deposit 5]
36.8 44.9 [37.0, 44.9] [Rare Flowers 5]
77.0 58.4 [37.0, 47.3] [Metal Deposit 25]
37.0 76.3 [37.3, 76.7] [Metal Deposit 25]
19.3 86.9 [37.0, 47.3] [Metal Deposit 25]
28.2 90.0 [26.2, 90.4] [Silica Deposit 25]
22.3 61.7 [22.4, 62.1] [Metal Deposit 25]
63.7 71.1 [37.0, 47.3] [Metal Deposit 25]
84.2 67.4 [84.4, 66.6] [Sulfur Deposit 5]
84.2 85.1 [37.0, 47.3] [Metal Deposit 25]
96.0 10.2 [37.0, 47.3] [Metal Deposit 25]
71.4 26.4 [37.0, 47.3] [Metal Deposit 25]
4.7 30.0 [5.7, 28.1] [Oil Rock 25]
33.6 84.6 [37.0, 47.3] [Metal Deposit 25]
18.2 43.3 [19.1, 44.2] [Metal Deposit 25]
16.7 28.8 [17.8, 28.8] [Rich Metal Deposit 100]
29.3 38.3 [37.0, 47.3] [Metal Deposit 25]
79.8 60.6 [80.1, 59.9] [Oil Vein 50]
53.5 33.5 [52.7, 36.6] [Rare Flowers 5]
94.9 48.2 [37.0, 47.3] [Metal Deposit 25]
25.3 59.2 [25.6, 59.2] [Crystal Deposit 25]
32.4 11.0 [32.2, 11.5] [Underwater Metal Deposit 25]
74.2 18.8 [74.4, 19.1] [Metal Deposit 25]
69.3 88.2 [68.2, 91.0] [Oil Rock 25]
6.1 41.3 [37.0, 47.3] [Metal Deposit 25]
17.6 91.7 [37.0, 47.3] [Metal Deposit 25]
49.1 40.3 [37.0, 47.3] [Metal Deposit 25]
99.8 14.4 [94.6, 13.2] [Underwater Metal Deposit 25]
83.3 54.3 [84.2, 54.0] [Rare Flowers 5]
15.7 34.0 [17.1, 33.7] [Underwater Metal Deposit 25]
63.1 54.5 [63.2, 53.6] [Metal Deposit 25]
32.1 34.1 [37.0, 47.3] [Metal Deposit 25]
60.0 72.2 [62.7, 73.9] [Salt Deposit 5]
97.5 36.6 [96.4, 38.2] [Silica Deposit 25]
94.8 14.1 [94.6, 13.2] [Underwater Metal Deposit 25]
31.0 28.3 [30.8, 27.2] [Water Vein 1]
7.1 7.0 [37.0, 47.3] [Metal Deposit 25]
57.7 44.1 [54.0, 40.5] [Metal Deposit 25]
6.9 36.8 [9.2, 38.0] [Silica Deposit 25]
68.9 61.4 [68.2, 60.2] [Water Vein 1]
86.6 23.2 [37.0, 47.3] [Metal Deposit 25]
65.8 50.5 [66.2, 51.6] [Metal Deposit 25]
26.6 5.3 [26.9, 4.1] [Underwater Metal Deposit 25]
2.2 19.1 [4.3, 18.7] [Underwater Metal Deposit 25]
15.6 91.3 [15.9, 88.0] [Oil Rock 25]
84.5 90.2 [82.8, 90.5] [Underwater Metal Deposit 25]
20.7 69.5 [21.9, 69.0] [Metal Deposit 25]
97.9 49.4 [97.6, 42.4] [Silica Deposit 25]
83.9 61.0 [37.0, 47.3] [Metal Deposit 25]
24.9 4.7 [26.9, 4.1] [Underwater Metal Deposit 25]
92.7 42.5 [92.8, 41.2] [Oil Rock 25]
93.1 8.2 [37.0, 47.3] [Metal Deposit 25]
69.8 61.0 [68.2, 60.2] [Water Vein 1]
37.9 97.6 [36.5, 97.1] [Oil Rock 25]
56.8 12.1 [55.2, 11.8] [Underwater Metal Deposit 25]
98.2 33.2 [95.9, 35.0] [Underwater Metal Deposit 25]
16.5 57.4 [37.0, 47.3] [Metal Deposit 25]
63.1 15.9 [62.7, 15.9] [Metal Deposit 25]
66.3 9.8 [66.2, 7.9] [Underwater Metal Deposit 25]
78.7 98.5 [37.0, 47.3] [Metal Deposit 25]
63.0 26.5 [37.0, 47.3] [Metal Deposit 25]
82.5 20.4 [37.0, 47.3] [Metal Deposit 25]
99.8 8.5 [37.0, 47.3] [Metal Deposit 25]
74.2 23.2 [73.8, 23.8] [Silica Deposit 25]
43.5 24.5 [37.0, 47.3] [Metal Deposit 25]
52.1 34.0 [52.7, 36.6] [Rare Flowers 5]
34.7 40.4 [34.7, 38.9] [Obsidian Deposit 25]
40.6 36.0 [41.3, 35.8] [Metal Deposit 25]
98.0 60.3 [95.7, 60.6] [Oil Rock 25]
7.2 78.7 [6.8, 86.2] [Crystal Deposit 25]
60.8 57.5 [37.0, 47.3] [Metal Deposit 25]
25.3 20.9 [27.5, 21.0] [Metal Deposit 25]
58.5 2.8 [60.6, 3.7] [Underwater Metal Deposit 25]
65.1 41.4 [65.1, 35.9] [Rich Metal Deposit 100]
12.6 75.6 [14.8, 77.1] [Metal Deposit 25]
8.9 93.2 [8.7, 90.8] [Crystal Deposit 25]
3.2 80.3 [4.0, 86.3] [Crystal Deposit 25]
71.4 30.5 [37.0, 47.3] [Metal Deposit 25]
23.6 73.6 [37.0, 47.3] [Metal Deposit 25]
73.9 83.0 [74.6, 82.8] [Rare Flowers 5]
93.5 52.4 [90.7, 52.4] [Oil Rock 25]
62.9 10.5 [37.0, 47.3] [Metal Deposit 25]
32.0 40.4 [32.1, 41.2] [Metal Deposit 25]
86.6 25.0 [37.0, 47.3] [Metal Deposit 25]
36.0 62.2 [37.0, 47.3] [Metal Deposit 25]
44.2 28.9 [43.4, 30.5] [Obsidian Deposit 25]
89.9 89.5 [88.9, 89.7] [Underwater Metal Deposit 25]
98.4 81.5 [37.0, 47.3] [Metal Deposit 25]
34.4 99.0 [37.0, 47.3] [Metal Deposit 25]
99.7 71.9 [99.0, 70.7] [Silica Deposit 25]
56.4 85.0 [59.2, 87.0] [Rare Flowers 5]
5.6 47.0 [5.6, 58.8] [Obsidian Deposit 25]
23.7 30.2 [23.0, 29.3] [Obsidian Deposit 25]
89.1 13.2 [37.0, 47.3] [Metal Deposit 25]
75.8 48.9 [74.8, 49.4] [Cactus 5]
23.7 12.2 [24.4, 11.0] [Silica Deposit 25]
0.6 82.0 [4.0, 86.3] [Crystal Deposit 25]
98.1 42.2 [97.6, 42.4] [Silica Deposit 25]
71.5 42.1 [72.5, 40.9] [Rich Metal Deposit 100]
63.8 85.7 [63.4, 96.8] [Oil Rock 25]
93.6 76.4 [93.4, 76.4] [Oil Rock 25]
41.8 85.6 [37.0, 47.3] [Metal Deposit 25]
8.2 40.9 [9.2, 38.0] [Silica Deposit 25]
18.5 0.1 [37.0, 47.3] [Metal Deposit 25]
36.7 56.9 [37.0, 47.3] [Metal Deposit 25]
42.8 60.9 [49.3, 60.9] [Obsidian Deposit 25]
0.3 50.3 [4.2, 70.3] [Silica Deposit 25]
94.4 51.8 [90.7, 52.4] [Oil Rock 25]
39.4 58.1 [37.7, 60.6] [Crystal Deposit 25]
32.3 22.0 [31.8, 23.5] [Rich Metal Deposit 100]
71.7 25.3 [37.0, 47.3] [Metal Deposit 25]
48.6 51.6 [52.1, 52.5] [Rich Metal Deposit 100]
67.4 1.4 [37.0, 47.3] [Metal Deposit 25]
44.0 88.5 [42.2, 89.2] [Oil Rock 25]
93.8 93.5 [92.5, 94.2] [Underwater Metal Deposit 25]
16.4 84.4 [16.4, 83.3] [Metal Deposit 25]
76.7 24.5 [37.0, 47.3] [Metal Deposit 25]
1.8 68.0 [4.2, 70.3] [Silica Deposit 25]
56.2 98.4 [57.9, 98.5] [Silica Deposit 25]
37.4 4.8 [37.1, 5.1] [Oil Rock 25]
65.5 74.3 [37.0, 47.3] [Metal Deposit 25]
19.4 12.6 [23.1, 12.7] [Underwater Metal Deposit 25]
48.0 6.9 [37.0, 47.3] [Metal Deposit 25]
17.1 18.7 [37.0, 47.3] [Metal Deposit 25]
35.9 21.5 [37.0, 47.3] [Metal Deposit 25]
63.0 69.4 [64.2, 68.5] [Rare Flowers 5]
54.3 50.9 [37.0, 47.3] [Metal Deposit 25]
82.6 26.2 [37.0, 47.3] [Metal Deposit 25]
81.9 78.2 [78.1, 78.1] [Crystal Deposit 25]
45.8 15.3 [45.2, 18.2] [Clay 5]
94.9 97.5 [94.2, 96.5] [Oil Rock 25]
16.3 25.6 [15.2, 25.9] [Rare Flowers 5]
42.9 24.6 [37.0, 47.3] [Metal Deposit 25]
54.7 87.8 [55.2, 78.9] [Salt Deposit 5]
59.8 65.4 [37.0, 47.3] [Metal Deposit 25]
80.1 5.4 [81.3, 6.5] [Metal Deposit 25]
90.1 76.5 [93.4, 76.4] [Oil Rock 25]
