[2.6, 88.0] [Crystal Deposit 25]
[18.7, 20.1] [Rich Metal Deposit 100]
[23.9, 20.1] [Rare Flowers 5]
[37.6, 20.3] [Silica Deposit 25]
[66.6, 20.1] [Silica Deposit 25]
[66.6, 20.2] [Underwater Metal Deposit 25]
[66.3, 20.3] [Oil Rock 25]
[67.8, 20.3] [Underwater Metal Deposit 25]
[82.1, 20.3] [Underwater Metal Deposit 25]
[96.7, 20.3] [Underwater Metal Deposit 25]
[36.2, 20.4] [Underwater Metal Deposit 25]
[40.5, 20.5] [Rare Flowers 5]
[72.9, 20.4] [Underwater Metal Deposit 25]
[11.9, 20.6] [Underwater Metal Deposit 25]
[14.8, 20.7] [Underwater Metal Deposit 25]
[19.3, 20.6] [Rare Flowers 5]
[21.6, 20.8] [Rich Metal Deposit 100]
[28.1, 20.6] [Rich Metal Deposit 100]
[76.3, 20.6] [Sulfur Deposit 5]
[22.9, 20.8] [Crystal Deposit 25]
[63.9, 20.8] [Oil Rock 25]
[65.6, 20.8] [Silica Deposit 25]
[11.4, 20.9] [Silica Deposit 25]
[11.5, 21.8] [Underwater Metal Deposit 25]
[21.4, 20.9] [Metal Deposit 25]
[27.6, 20.9] [Rare Flowers 5]
[64.6, 20.9] [Underwater Metal Deposit 25]
[13.2, 21.0] [Underwater Metal Deposit 25]
[13.4, 21.8] [Oil Rock 25]
[20.1, 21.3] [Obsidian Deposit 25]
[23.8, 21.1] [Rich Metal Deposit 100]
[27.5, 21.0] [Metal Deposit 25]
[74.4, 21.0] [Underwater Metal Deposit 25]
[90.4, 21.0] [Underwater Metal Deposit 25]
[26.4, 21.1] [Rare Flowers 5]
[33.8, 21.2] [Silica Deposit 25]
[37.4, 21.2] [Underwater Metal Deposit 25]
[70.5, 21.1] [Silica Deposit 25]
[70.6, 21.1] [Black Pearls 100]
[83.3, 21.1] [Sulfur Deposit 5]
[38.5, 21.2] [Silica Deposit 25]
[34.6, 21.3] [Underwater Metal Deposit 25]
[35.0, 21.3] [Silica Deposit 25]
[72.8, 21.3] [Underwater Metal Deposit 25]
[80.0, 21.3] [Sulfur Deposit 5]
[85.2, 21.3] [Sulfur Deposit 5]
[20.4, 21.4] [Rare Flowers 5]
[22.6, 21.6] [Crystal Deposit 25]
[58.0, 21.4] [Water Vein 1]
[67.5, 21.4] [Black Pearls 100]
[70.8, 21.4] [Underwater Metal Deposit 25]
[83.4, 21.4] [Metal Deposit 25]
[86.2, 21.4] [Metal Deposit 25]
[27.4, 21.5] [Rich Metal Deposit 100]
[30.5, 21.6] [Metal Deposit 25]
[38.5, 21.6] [Underwater Metal Deposit 25]
[67.5, 21.5] [Silica Deposit 25]
[77.9, 21.5] [Sulfur Deposit 5]
[61.6, 21.6] [Oil Rock 25]
[36.9, 21.7] [Silica Deposit 25]
[62.9, 21.7] [Silica Deposit 25]
[77.9, 21.7] [Metal Deposit 25]
[79.7, 21.7] [Silica Deposit 25]
[15.7, 21.8] [Metal Deposit 25]
[16.3, 21.9] [Rich Metal Deposit 100]
[19.2, 21.8] [Rich Metal Deposit 100]
[25.8, 21.9] [Rare Flowers 5]
[60.8, 21.8] [Underwater Metal Deposit 25]
[60.8, 21.9] [Oil Rock 25]
[65.1, 21.8] [Oil Rock 25]
[66.9, 21.8] [Underwater Metal Deposit 25]
[97.2, 21.8] [Underwater Metal Deposit 25]
[7.6, 22.0] [Silica Deposit 25]
[8.2, 22.8] [Crystal Deposit 25]
[14.5, 22.3] [Metal Deposit 25]
[16.2, 22.1] [Rare Flowers 5]
[72.5, 22.0] [Underwater Metal Deposit 25]
[19.5, 22.2] [Rare Flowers 5]
[21.7, 22.2] [Obsidian Deposit 25]
[21.9, 22.2] [Rare Flowers 5]
[15.0, 22.3] [Metal Deposit 25]
[16.1, 22.3] [Obsidian Deposit 25]
[22.8, 22.4] [Obsidian Deposit 25]
[61.9, 22.4] [Underwater Metal Deposit 25]
[96.6, 22.4] [Underwater Metal Deposit 25]
[8.6, 22.5] [Underwater Metal Deposit 25]
[16.0, 22.9] [Metal Deposit 25]
[17.8, 22.5] [Rare Flowers 5]
[17.8, 22.7] [Metal Deposit 25]
[24.6, 22.5] [Metal Deposit 25]
[31.7, 22.5] [Rich Metal Deposit 100]
[32.0, 22.5] [Metal Deposit 25]
[92.9, 22.5] [Underwater Metal Deposit 25]
[18.7, 22.6] [Rare Flowers 5]
[21.3, 22.6] [Metal Deposit 25]
[21.5, 22.6] [Rich Metal Deposit 100]
[60.5, 22.6] [Silica Deposit 25]
[62.1, 22.6] [Silica Deposit 25]
[84.2, 22.7] [Metal Deposit 25]
[80.8, 22.8] [Silica Deposit 25]
[21.3, 22.9] [Rare Flowers 5]
[21.3, 23.1] [Obsidian Deposit 25]
[22.2, 22.9] [Crystal Deposit 25]
[22.2, 23.0] [Rare Flowers 5]
[37.8, 22.9] [Underwater Metal Deposit 25]
[74.3, 22.9] [Underwater Metal Deposit 25]
[24.2, 23.0] [Crystal Deposit 25]
[59.1, 23.2] [Underwater Metal Deposit 25]
[80.8, 23.0] [Underwater Metal Deposit 25]
[82.3, 23.0] [Metal Deposit 25]
[63.4, 23.1] [Silica Deposit 25]
[71.4, 23.1] [Silica Deposit 25]
[71.7, 23.2] [Black Pearls 100]
[77.0, 23.2] [Sulfur Deposit 5]
[6.5, 23.3] [Silica Deposit 25]
[7.5, 24.3] [Crystal Deposit 25]
[8.5, 23.3] [Metal Deposit 25]
[11.1, 24.2] [Underwater Metal Deposit 25]
[17.9, 23.5] [Rare Flowers 5]
[20.0, 23.3] [Rare Flowers 5]
[20.0, 23.5] [Metal Deposit 25]
[20.9, 23.3] [Crystal Deposit 25]
[31.8, 23.5] [Rich Metal Deposit 100]
[39.0, 23.3] [Silica Deposit 25]
[39.1, 23.4] [Oil Rock 25]
[72.8, 23.3] [Underwater Metal Deposit 25]
[82.2, 23.4] [Silica Deposit 25]
[88.3, 23.5] [Underwater Metal Deposit 25]
[13.9, 23.6] [Oil Rock 25]
[15.4, 24.3] [Metal Deposit 25]
[21.7, 24.1] [Rich Metal Deposit 100, Metal Deposit 25]
[30.3, 23.7] [Metal Deposit 25]
[59.2, 23.6] [Oil Rock 25]
[90.2, 23.6] [Underwater Metal Deposit 25]
[92.9, 23.6] [Underwater Metal Deposit 25]
[36.5, 23.7] [Metal Deposit 25]
[62.0, 23.7] [Silica Deposit 25]
[75.2, 23.7] [Underwater Metal Deposit 25]
[86.8, 23.7] [Underwater Metal Deposit 25]
[91.4, 23.7] [Underwater Metal Deposit 25]
[23.2, 23.8] [Obsidian Deposit 25]
[26.4, 24.2] [Metal Deposit 25]
[32.6, 23.8] [Metal Deposit 25]
[60.7, 24.2] [Underwater Metal Deposit 25]
[73.8, 23.8] [Silica Deposit 25]
[79.9, 24.2] [Underwater Metal Deposit 25]
[84.2, 24.0] [Sulfur Deposit 5]
[91.3, 23.8] [Silica Deposit 25]
[93.9, 24.2] [Silica Deposit 25]
[82.1, 24.3] [Metal Deposit 25]
[15.4, 24.4] [Rare Flowers 5]
[20.5, 24.4] [Metal Deposit 25]
[62.3, 24.4] [Silica Deposit 25]
[96.6, 24.4] [Underwater Metal Deposit 25]
[20.8, 24.5] [Obsidian Deposit 25]
[24.7, 24.5] [Crystal Deposit 25]
[31.8, 24.5] [Water Vein 1]
[6.0, 24.6] [Oil Rock 25]
[6.2, 26.8] [Underwater Metal Deposit 25]
[7.2, 25.4] [Underwater Metal Deposit 25]
[11.2, 25.7] [Silica Deposit 25]
[11.4, 25.5] [Oil Rock 25]
[14.3, 24.7] [Metal Deposit 25]
[16.9, 24.7] [Rich Metal Deposit 100]
[37.8, 24.6] [Metal Deposit 25]
[22.7, 24.7] [Rare Flowers 5]
[35.2, 24.7] [Obsidian Deposit 25]
[16.7, 24.8] [Rare Flowers 5]
[18.9, 24.8] [Rare Flowers 5]
[20.9, 24.8] [Crystal Deposit 25]
[30.9, 24.8] [Metal Deposit 25]
[32.2, 24.8] [Water Vein 1]
[32.7, 24.8] [Water Vein 1]
[13.8, 24.9] [Oil Rock 25]
[14.8, 26.2] [Metal Deposit 25]
[16.8, 25.3] [Metal Deposit 25]
[19.5, 25.0] [Obsidian Deposit 25]
[22.5, 24.9] [Metal Deposit 25]
[35.3, 24.9] [Rich Metal Deposit 100]
[24.9, 25.0] [Rare Flowers 5]
[88.2, 25.0] [Underwater Metal Deposit 25]
[93.1, 25.0] [Underwater Metal Deposit 25]
[20.3, 25.1] [Metal Deposit 25]
[20.9, 25.1] [Obsidian Deposit 25]
[21.3, 25.1] [Metal Deposit 25]
[21.4, 25.2] [Rich Metal Deposit 100]
[59.0, 25.1] [Underwater Metal Deposit 25]
[82.1, 25.1] [Sulfur Deposit 5]
[21.7, 25.2] [Rich Metal Deposit 100]
[19.0, 25.3] [Metal Deposit 25]
[20.5, 25.8] [Crystal Deposit 25]
[23.2, 25.3] [Rich Metal Deposit 100]
[33.5, 25.8] [Rich Metal Deposit 100]
[34.7, 25.4] [Metal Deposit 25]
[93.0, 25.3] [Silica Deposit 25]
[97.0, 25.3] [Underwater Metal Deposit 25]
[40.7, 25.4] [Obsidian Deposit 25]
[61.7, 25.4] [Silica Deposit 25]
[84.4, 25.4] [Sulfur Deposit 5]
[33.6, 25.5] [Obsidian Deposit 25]
[40.6, 25.5] [Metal Deposit 25]
[78.3, 25.7] [Sulfur Deposit 5]
[91.1, 25.5] [Underwater Metal Deposit 25]
[58.2, 25.8] [Underwater Metal Deposit 25]
[83.5, 25.8] [Sulfur Deposit 5]
[85.5, 25.8] [Sulfur Deposit 5]
[94.2, 25.8] [Oil Rock 25]
[15.2, 25.9] [Rare Flowers 5]
[16.6, 26.0] [Obsidian Deposit 25]
[18.8, 26.2] [Obsidian Deposit 25]
[22.9, 26.0] [Metal Deposit 25]
[42.0, 25.9] [Metal Deposit 25]
[80.8, 25.9] [Underwater Metal Deposit 25]
[89.3, 25.9] [Underwater Metal Deposit 25]
[30.8, 26.0] [Rare Flowers 5]
[20.6, 26.1] [Rich Metal Deposit 100]
[23.2, 26.1] [Obsidian Deposit 25]
[59.7, 26.1] [Underwater Metal Deposit 25]
[61.0, 26.1] [Underwater Metal Deposit 25]
[30.8, 26.2] [Water Vein 1]
[30.9, 26.2] [Obsidian Deposit 25]
[31.6, 26.2] [Metal Deposit 25]
[39.3, 26.2] [Obsidian Deposit 25]
[77.7, 26.2] [Obsidian Deposit 25]
[18.4, 26.3] [Rare Flowers 5]
[30.4, 26.7] [Metal Deposit 25]
[30.8, 26.4] [Rich Metal Deposit 100]
[36.4, 26.5] [Metal Deposit 25]
[44.7, 26.4] [Metal Deposit 25]
[59.1, 26.4] [Silica Deposit 25]
[62.4, 26.4] [Silica Deposit 25]
[84.1, 26.4] [Metal Deposit 25]
[87.5, 26.4] [Underwater Metal Deposit 25]
[95.2, 26.4] [Oil Rock 25]
[37.8, 26.5] [Silica Deposit 25]
[11.2, 26.8] [Underwater Metal Deposit 25]
[16.1, 27.3] [Rich Metal Deposit 100]
[17.7, 27.4] [Obsidian Deposit 25]
[20.7, 26.8] [Obsidian Deposit 25]
[33.4, 26.8] [Rich Metal Deposit 100]
[77.4, 26.8] [Metal Deposit 25]
[83.2, 26.8] [Sulfur Deposit 5]
[19.1, 26.9] [Obsidian Deposit 25]
[19.8, 27.1] [Metal Deposit 25]
[21.6, 27.1] [Crystal Deposit 25]
[23.4, 27.0] [Rare Flowers 5]
[29.2, 27.0] [Metal Deposit 25]
[36.5, 27.0] [Rich Metal Deposit 100]
[38.3, 27.1] [Metal Deposit 25]
[40.9, 27.0] [Metal Deposit 25]
[83.2, 27.0] [Water Vein 1]
[88.3, 27.1] [Underwater Metal Deposit 25]
[20.0, 27.2] [Rich Metal Deposit 100]
[21.2, 27.2] [Crystal Deposit 25]
[21.5, 27.2] [Metal Deposit 25]
[21.7, 27.2] [Rich Metal Deposit 100]
[30.8, 27.2] [Water Vein 1]
[31.3, 27.3] [Metal Deposit 25]
[97.5, 27.3] [Underwater Metal Deposit 25]
[22.5, 27.4] [Rich Metal Deposit 100]
[46.8, 27.4] [Metal Deposit 25]
[94.9, 27.4] [Silica Deposit 25]
[16.3, 27.5] [Metal Deposit 25]
[18.0, 27.5] [Rich Metal Deposit 100]
[19.4, 27.5] [Crystal Deposit 25]
[21.3, 27.8] [Obsidian Deposit 25]
[22.5, 27.5] [Obsidian Deposit 25]
[32.7, 27.6] [Water Vein 1]
[37.4, 27.5] [Silica Deposit 25]
[82.3, 27.5] [Sulfur Deposit 5]
[88.6, 27.5] [Silica Deposit 25]
[32.8, 27.6] [Rare Flowers 5]
[35.4, 27.7] [Metal Deposit 25]
[81.3, 27.7] [Underwater Metal Deposit 25]
[93.7, 27.6] [Silica Deposit 25]
[36.8, 27.8] [Metal Deposit 25]
[41.4, 27.8] [Water Vein 1]
[83.2, 27.8] [Oil Vein 50]
[91.3, 27.8] [Underwater Metal Deposit 25]
[8.5, 27.9] [Underwater Metal Deposit 25]
[16.2, 28.8] [Obsidian Deposit 25]
[20.2, 28.2] [Rare Flowers 5]
[21.3, 27.9] [Rich Metal Deposit 100]
[30.1, 27.9] [Obsidian Deposit 25]
[30.1, 28.2] [Rich Metal Deposit 100]
[33.6, 27.9] [Metal Deposit 25]
[41.6, 28.2] [Obsidian Deposit 25]
[81.4, 27.9] [Silica Deposit 25]
[83.7, 28.0] [Sulfur Deposit 5]
[43.4, 28.1] [Rich Metal Deposit 100]
[54.6, 28.2] [Rare Flowers 5]
[89.5, 28.2] [Underwater Metal Deposit 25]
[94.0, 28.2] [Oil Rock 25]
[20.8, 28.3] [Obsidian Deposit 25]
[21.0, 28.6] [Rich Metal Deposit 100]
[35.0, 28.4] [Metal Deposit 25]
[78.7, 28.3] [Metal Deposit 25]
[86.3, 28.5] [Sulfur Deposit 5]
[22.2, 28.6] [Rich Metal Deposit 100]
[23.2, 28.6] [Obsidian Deposit 25]
[30.3, 28.6] [Metal Deposit 25]
[41.9, 28.6] [Rich Metal Deposit 100]
[46.7, 28.6] [Metal Deposit 25]
[23.2, 28.7] [Metal Deposit 25]
[32.2, 28.7] [Rare Flowers 5]
[35.2, 28.7] [Rich Metal Deposit 100]
[42.4, 28.7] [Obsidian Deposit 25, Rich Metal Deposit 100]
[16.6, 28.8] [Crystal Deposit 25]
[17.8, 28.8] [Rich Metal Deposit 100]
[19.0, 28.8] [Crystal Deposit 25]
[21.1, 29.2] [Obsidian Deposit 25]
[22.1, 28.8] [Metal Deposit 25]
[27.7, 28.9] [Crystal Deposit 25]
[28.5, 29.0] [Metal Deposit 25]
[37.9, 28.9] [Silica Deposit 25]
[33.0, 29.0] [Rich Metal Deposit 100]
[35.2, 29.0] [Obsidian Deposit 25]
[43.6, 29.0] [Rich Metal Deposit 100]
[48.3, 29.1] [Metal Deposit 25]
[97.6, 29.0] [Underwater Metal Deposit 25]
[21.3, 29.2] [Crystal Deposit 25]
[6.4, 29.3] [Silica Deposit 25]
[23.0, 29.3] [Obsidian Deposit 25]
[30.1, 29.3] [Rich Metal Deposit 100]
[41.4, 29.3] [Obsidian Deposit 25]
[88.2, 29.3] [Silica Deposit 25]
[5.5, 29.4] [Silica Deposit 25]
[5.7, 32.4] [Oil Rock 25]
[9.8, 29.5] [Silica Deposit 25]
[15.7, 29.4] [Underwater Metal Deposit 25]
[19.4, 29.5] [Metal Deposit 25]
[29.8, 29.4] [Obsidian Deposit 25]
[36.0, 29.4] [Water Vein 1]
[42.6, 29.4] [Obsidian Deposit 25]
[36.1, 29.5] [Obsidian Deposit 25]
[5.9, 29.6] [Oil Rock 25]
[6.8, 31.2] [Silica Deposit 25]
[9.6, 29.7] [Oil Rock 25]
[17.1, 29.6] [Rare Flowers 5]
[49.7, 29.7] [Metal Deposit 25]
[9.9, 29.8] [Underwater Metal Deposit 25]
[12.3, 29.8] [Underwater Metal Deposit 25]
[20.3, 30.0] [Metal Deposit 25]
[20.4, 29.8] [Obsidian Deposit 25]
[22.3, 30.0] [Obsidian Deposit 25]
[22.5, 29.8] [Metal Deposit 25]
[28.4, 30.0] [Obsidian Deposit 25]
[31.9, 29.8] [Metal Deposit 25]
[32.0, 29.8] [Water Vein 1]
[80.5, 29.8] [Silica Deposit 25]
[98.3, 29.8] [Underwater Metal Deposit 25]
[29.4, 29.9] [Metal Deposit 25]
[31.9, 29.9] [Obsidian Deposit 25]
[33.8, 29.9] [Metal Deposit 25]
[80.2, 29.9] [Underwater Metal Deposit 25]
[33.7, 30.0] [Rich Metal Deposit 100]
[43.5, 30.0] [Rich Metal Deposit 100]
[77.7, 30.0] [Silica Deposit 25]
[85.1, 30.0] [Underwater Metal Deposit 25]
[93.6, 30.0] [Oil Rock 25]
[16.9, 30.1] [Metal Deposit 25]
[35.4, 30.2] [Metal Deposit 25]
[86.0, 30.1] [Underwater Metal Deposit 25]
[93.7, 30.1] [Silica Deposit 25]
[35.5, 30.2] [Rich Metal Deposit 100]
[77.8, 30.2] [Underwater Metal Deposit 25]
[7.4, 30.3] [Silica Deposit 25]
[7.5, 30.4] [Oil Rock 25]
[8.2, 30.9] [Silica Deposit 25]
[10.1, 31.0] [Underwater Metal Deposit 25]
[17.3, 30.3] [Rich Metal Deposit 100]
[30.5, 30.3] [Obsidian Deposit 25]
[35.8, 30.3] [Obsidian Deposit 25]
[18.8, 30.4] [Rare Flowers 5]
[21.1, 30.6] [Obsidian Deposit 25]
[29.8, 30.4] [Rich Metal Deposit 100]
[29.1, 30.5] [Rich Metal Deposit 100, Metal Deposit 25]
[30.7, 30.5] [Rich Metal Deposit 100]
[43.4, 30.5] [Obsidian Deposit 25]
[96.5, 30.7] [Underwater Metal Deposit 25]
[12.1, 30.8] [Silica Deposit 25]
[14.4, 31.2] [Underwater Metal Deposit 25]
[20.7, 31.0] [Rare Flowers 5]
[81.9, 30.8] [Silica Deposit 25]
[30.0, 31.0] [Oil Rock 25]
[87.1, 31.0] [Silica Deposit 25]
[17.9, 31.1] [Rare Flowers 5]
[20.0, 31.1] [Metal Deposit 25]
[39.2, 31.1] [Silica Deposit 25]
[75.2, 31.1] [Silica Deposit 25]
[97.8, 31.1] [Underwater Metal Deposit 25]
[21.8, 31.2] [Crystal Deposit 25]
[22.8, 31.2] [Rare Flowers 5]
[41.4, 31.2] [Metal Deposit 25]
[42.8, 31.2] [Rich Metal Deposit 100]
[89.5, 31.2] [Underwater Metal Deposit 25]
[8.2, 31.3] [Oil Rock 25]
[8.9, 32.0] [Oil Rock 25]
[12.6, 31.3] [Underwater Metal Deposit 25]
[21.7, 31.9] [Obsidian Deposit 25]
[34.7, 31.4] [Oil Rock 25]
[44.0, 31.4] [Obsidian Deposit 25]
[44.2, 31.7] [Crystal Deposit 25]
[75.8, 31.4] [Underwater Metal Deposit 25]
[74.8, 31.5] [Underwater Metal Deposit 25]
[78.4, 31.7] [Silica Deposit 25]
[82.1, 31.6] [Underwater Metal Deposit 25]
[22.7, 31.8] [Rich Metal Deposit 100]
[30.5, 32.0] [Metal Deposit 25]
[38.0, 31.8] [Oil Vein 50]
[76.6, 31.8] [Silica Deposit 25]
[77.3, 31.8] [Underwater Metal Deposit 25]
[96.2, 31.8] [Underwater Metal Deposit 25]
[83.5, 31.9] [Sulfur Deposit 5]
[31.6, 32.0] [Oil Rock 25]
[94.6, 32.0] [Silica Deposit 25]
[7.7, 32.1] [Oil Rock 25]
[9.0, 32.8] [Oil Rock 25]
[14.6, 32.3] [Underwater Metal Deposit 25]
[27.2, 32.2] [Metal Deposit 25]
[79.3, 32.1] [Underwater Metal Deposit 25]
[81.1, 32.1] [Underwater Metal Deposit 25]
[27.9, 32.2] [Oil Rock 25]
[79.9, 32.2] [Oil Rock 25]
[84.1, 32.2] [Metal Deposit 25]
[23.1, 32.3] [Metal Deposit 25]
[32.6, 32.3] [Rich Metal Deposit 100, Metal Deposit 25]
[38.7, 32.3] [Oil Vein 50]
[84.7, 32.3] [Sulfur Deposit 5]
[9.3, 32.4] [Silica Deposit 25]
[9.4, 32.5] [Underwater Metal Deposit 25]
[30.8, 32.4] [Rich Metal Deposit 100]
[34.4, 32.5] [Obsidian Deposit 25]
[34.5, 32.5] [Metal Deposit 25]
[34.5, 32.6] [Rich Metal Deposit 100]
[38.8, 32.5] [Oil Vein 50]
[91.2, 32.5] [Underwater Metal Deposit 25]
[97.9, 32.6] [Underwater Metal Deposit 25]
[32.9, 32.7] [Oil Rock 25]
[30.3, 32.8] [Oil Rock 25]
[33.3, 32.8] [Rich Metal Deposit 100]
[5.0, 32.9] [Silica Deposit 25]
[5.0, 43.6] [Silica Deposit 25]
[6.3, 33.0] [Silica Deposit 25]
[6.7, 32.9] [Oil Rock 25]
[14.6, 33.3] [Underwater Metal Deposit 25]
[18.8, 32.9] [Metal Deposit 25]
[20.3, 33.3] [Crystal Deposit 25]
[28.1, 32.9] [Rich Metal Deposit 100]
[28.2, 32.9] [Metal Deposit 25]
[29.1, 33.1] [Obsidian Deposit 25]
[65.1, 32.9] [Metal Deposit 25]
[87.5, 32.9] [Underwater Metal Deposit 25]
[38.5, 33.0] [Crystal Deposit 25]
[41.1, 33.1] [Metal Deposit 25]
[63.0, 33.1] [Metal Deposit 25]
[81.4, 33.1] [Oil Rock 25]
[20.5, 33.2] [Oil Rock 25]
[39.8, 33.2] [Silica Deposit 25]
[5.1, 33.4] [Oil Rock 25]
[5.6, 34.0] [Silica Deposit 25]
[9.2, 38.0] [Silica Deposit 25]
[11.1, 33.8] [Silica Deposit 25]
[11.6, 33.4] [Underwater Metal Deposit 25]
[17.1, 33.7] [Underwater Metal Deposit 25]
[20.3, 33.4] [Silica Deposit 25]
[64.5, 33.4] [Rich Metal Deposit 100]
[80.4, 33.4] [Silica Deposit 25]
[19.7, 33.5] [Oil Rock 25]
[22.5, 33.5] [Oil Rock 25]
[76.3, 33.6] [Underwater Metal Deposit 25]
[77.9, 33.6] [Oil Rock 25]
[86.2, 33.6] [Silica Deposit 25]
[91.8, 33.6] [Underwater Metal Deposit 25]
[30.1, 33.7] [Obsidian Deposit 25]
[33.2, 33.9] [Oil Rock 25]
[65.0, 33.8] [Obsidian Deposit 25]
[90.9, 33.7] [Silica Deposit 25]
[74.1, 33.9] [Rare Flowers 5]
[78.3, 33.9] [Underwater Metal Deposit 25]
[94.5, 33.9] [Silica Deposit 25]
[38.2, 34.0] [Crystal Deposit 25]
[79.1, 34.0] [Silica Deposit 25]
[10.4, 34.1] [Oil Rock 25]
[11.6, 34.4] [Underwater Metal Deposit 25]
[14.6, 34.4] [Underwater Metal Deposit 25]
[21.6, 34.3] [Silica Deposit 25]
[31.3, 34.1] [Oil Rock 25]
[31.8, 34.2] [Oil Vein 50]
[80.0, 34.1] [Oil Rock 25]
[39.0, 34.2] [Metal Deposit 25]
[64.4, 34.2] [Metal Deposit 25]
[31.7, 34.3] [Oil Vein 50]
[44.9, 34.3] [Metal Deposit 25]
[81.3, 34.3] [Underwater Metal Deposit 25]
[82.9, 34.3] [Oil Rock 25]
[29.8, 34.4] [Metal Deposit 25]
[73.5, 34.4] [Metal Deposit 25]
[75.5, 34.4] [Crystal Deposit 25]
[75.6, 34.4] [Obsidian Deposit 25]
[83.8, 34.4] [Oil Rock 25]
[19.9, 34.5] [Obsidian Deposit 25]
[32.2, 34.5] [Oil Vein 50]
[33.1, 34.5] [Crystal Deposit 25]
[39.9, 34.5] [Silica Deposit 25]
[43.5, 34.5] [Metal Deposit 25]
[73.4, 34.5] [Obsidian Deposit 25]
[11.6, 34.6] [Oil Rock 25]
[11.7, 40.0] [Obsidian Deposit 25]
[12.9, 37.1] [Underwater Metal Deposit 25]
[15.3, 35.5] [Underwater Metal Deposit 25]
[17.9, 37.7] [Obsidian Deposit 25]
[20.2, 36.3] [Metal Deposit 25]
[21.6, 34.6] [Rich Metal Deposit 100]
[31.5, 34.6] [Crystal Deposit 25]
[62.8, 34.6] [Rich Metal Deposit 100]
[92.9, 34.6] [Silica Deposit 25]
[61.6, 34.7] [Metal Deposit 25]
[24.0, 34.8] [Rare Flowers 5]
[94.7, 34.8] [Underwater Metal Deposit 25]
[21.5, 34.9] [Metal Deposit 25]
[21.5, 36.5] [Metal Deposit 25]
[22.6, 36.3] [Metal Deposit 25]
[39.1, 34.9] [Obsidian Deposit 25]
[23.9, 35.0] [Rich Metal Deposit 100]
[25.9, 36.3] [Salt Deposit 5]
[29.6, 35.0] [Rich Metal Deposit 100]
[32.3, 35.6] [Crystal Deposit 25]
[33.9, 35.7] [Obsidian Deposit 25]
[34.8, 35.2] [Water Vein 1]
[44.4, 35.1] [Metal Deposit 25]
[73.8, 35.0] [Oil Vein 50]
[83.7, 35.0] [Silica Deposit 25]
[91.1, 35.0] [Silica Deposit 25]
[95.9, 35.0] [Underwater Metal Deposit 25]
[73.2, 35.1] [Rare Flowers 5]
[92.5, 35.1] [Underwater Metal Deposit 25]
[36.8, 35.2] [Obsidian Deposit 25]
[37.9, 35.6] [Metal Deposit 25]
[42.7, 35.2] [Metal Deposit 25]
[73.7, 35.2] [Oil Vein 50]
[80.2, 35.2] [Oil Rock 25]
[81.6, 35.2] [Silica Deposit 25]
[93.6, 35.2] [Underwater Metal Deposit 25]
[73.9, 35.3] [Rich Metal Deposit 100]
[51.3, 35.4] [Rare Flowers 5]
[51.8, 35.4] [Metal Deposit 25]
[79.4, 35.4] [Silica Deposit 25]
[40.7, 35.5] [Metal Deposit 25]
[49.4, 35.6] [Metal Deposit 25]
[54.0, 35.5] [Metal Deposit 25]
[54.9, 35.5] [Metal Deposit 25]
[94.5, 35.5] [Silica Deposit 25]
[77.4, 35.6] [Underwater Metal Deposit 25]
[34.5, 35.7] [Oil Vein 50]
[34.7, 35.7] [Crystal Deposit 25]
[82.8, 35.7] [Oil Rock 25]
[35.1, 35.8] [Metal Deposit 25]
[41.3, 35.8] [Metal Deposit 25]
[43.6, 35.8] [Metal Deposit 25]
[65.1, 35.9] [Rich Metal Deposit 100]
[75.4, 35.9] [Crystal Deposit 25]
[79.1, 35.9] [Underwater Metal Deposit 25]
[95.5, 35.9] [Underwater Metal Deposit 25]
[33.2, 36.0] [Metal Deposit 25]
[36.0, 36.2] [Oil Rock 25]
[41.0, 36.2] [Rich Metal Deposit 100]
[46.7, 36.0] [Rare Flowers 5]
[47.7, 36.0] [Rare Flowers 5]
[72.0, 36.1] [Water Vein 1]
[74.8, 36.0] [Rich Metal Deposit 100]
[89.9, 36.1] [Underwater Metal Deposit 25]
[54.9, 36.2] [Rare Flowers 5]
[63.0, 36.3] [Metal Deposit 25]
[73.5, 36.2] [Rare Flowers 5]
[73.8, 36.2] [Water Vein 1]
[39.0, 36.4] [Obsidian Deposit 25]
[49.6, 36.4] [Obsidian Deposit 25]
[75.6, 36.4] [Rare Flowers 5]
[22.0, 36.5] [Silica Deposit 25]
[23.8, 36.5] [Metal Deposit 25]
[29.7, 36.5] [Obsidian Deposit 25]
[42.7, 36.5] [Metal Deposit 25]
[48.5, 36.5] [Obsidian Deposit 25]
[49.4, 36.5] [Metal Deposit 25]
[71.7, 36.5] [Obsidian Deposit 25]
[18.3, 36.6] [Obsidian Deposit 25]
[19.0, 37.8] [Metal Deposit 25]
[30.4, 36.8] [Oil Vein 50]
[30.9, 36.6] [Metal Deposit 25]
[32.7, 36.6] [Crystal Deposit 25]
[38.6, 36.6] [Rich Metal Deposit 100]
[52.7, 36.6] [Rare Flowers 5]
[75.0, 36.6] [Obsidian Deposit 25]
[95.9, 36.6] [Silica Deposit 25]
[36.2, 36.7] [Metal Deposit 25]
[39.2, 36.8] [Metal Deposit 25]
[44.1, 36.7] [Rare Flowers 5]
[53.4, 36.7] [Metal Deposit 25]
[75.0, 36.7] [Crystal Deposit 25]
[75.0, 36.8] [Metal Deposit 25]
